date_time,video_id,video_url,title,thumbnail_url,view_count,post_time_text
2023-03-10 19:38:10.438612,mEguTxFPf30,https://www.youtube.com/watch?v=mEguTxFPf30,YouTube Studio not opening in Google Chrome | How to fix YouTube Studio not open in Chrome,https://i.ytimg.com/vi/mEguTxFPf30/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9p7fmxaGJrsz74r39Iv6bTZB-qw,161,1 year ago
2023-03-10 19:38:10.438612,3h0XuohC2E4,https://www.youtube.com/watch?v=3h0XuohC2E4,KineMaster Video Encoding Warning Problem | How to Solve this Encoding Warning in Kinemaster - Error,https://i.ytimg.com/vi/3h0XuohC2E4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRidJkHOnBJbw0yhBgREa2d6CJGg,1404,1 year ago
2023-03-10 19:38:10.438612,1UL0IE44ync,https://www.youtube.com/watch?v=1UL0IE44ync,How to Delete Adsense Account Permanently 2021 - Adsense Account Delete kaise kare - Close Adsense,https://i.ytimg.com/vi/1UL0IE44ync/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJyfVyF1-G9dvPJdvWMdobZ1bf_w,210,1 year ago
2023-03-10 19:38:10.438612,u5YjJri1RAA,https://www.youtube.com/watch?v=u5YjJri1RAA,How to Enable Monetization on YouTube 2021 | YouTube Channel Monetize kaise kare in mobile,https://i.ytimg.com/vi/u5YjJri1RAA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCK-xziBVEXtBvuEfd4MojuIkEZ0A,218,1 year ago
2023-03-10 19:38:59.242395,TCblpDaKh7A,https://www.youtube.com/watch?v=TCblpDaKh7A,Happy New Year 2021 Wishing Script Website - For Blogger Adsense - Whatsapp Viral Script,https://i.ytimg.com/vi/TCblpDaKh7A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfqbKMY7Gk8qfb6Efuwux1Ouv8IA,676,2 years ago
2023-03-10 19:38:59.242395,mEguTxFPf30,https://www.youtube.com/watch?v=mEguTxFPf30,YouTube Studio not opening in Google Chrome | How to fix YouTube Studio not open in Chrome,https://i.ytimg.com/vi/mEguTxFPf30/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9p7fmxaGJrsz74r39Iv6bTZB-qw,161,1 year ago
2023-03-10 19:38:59.242395,3h0XuohC2E4,https://www.youtube.com/watch?v=3h0XuohC2E4,KineMaster Video Encoding Warning Problem | How to Solve this Encoding Warning in Kinemaster - Error,https://i.ytimg.com/vi/3h0XuohC2E4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRidJkHOnBJbw0yhBgREa2d6CJGg,1404,1 year ago
2023-03-10 19:38:59.242395,1UL0IE44ync,https://www.youtube.com/watch?v=1UL0IE44ync,How to Delete Adsense Account Permanently 2021 - Adsense Account Delete kaise kare - Close Adsense,https://i.ytimg.com/vi/1UL0IE44ync/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJyfVyF1-G9dvPJdvWMdobZ1bf_w,210,1 year ago
2023-03-10 19:38:59.242395,u5YjJri1RAA,https://www.youtube.com/watch?v=u5YjJri1RAA,How to Enable Monetization on YouTube 2021 | YouTube Channel Monetize kaise kare in mobile,https://i.ytimg.com/vi/u5YjJri1RAA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCK-xziBVEXtBvuEfd4MojuIkEZ0A,218,1 year ago
2023-03-10 19:57:32.538497,3h0XuohC2E4,https://www.youtube.com/watch?v=3h0XuohC2E4,KineMaster Video Encoding Warning Problem | How to Solve this Encoding Warning in Kinemaster - Error,https://i.ytimg.com/vi/3h0XuohC2E4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRidJkHOnBJbw0yhBgREa2d6CJGg,1404,1 year ago
